subId,lat,locationPrivate,locName,obsDt,sciName,howMany,locId,obsValid,speciesCode,obsReviewed,lng,comName
S15362212,36.6608009,False,Salinas WTP (no public access),2013-10-01 16:40,Calidris mauri,10,L335151,True,wessan,False,-121.7180536,Western Sandpiper
S15311110,45.6203,False,Smith and Bybee Lakes Wetlands Natural Area,2013-10-01 11:43,Calidris mauri,3,L159604,True,wessan,False,-122.7456,Western Sandpiper
S15303651,48.14035,False,Ediz Hook,2013-10-01 16:00,Calidris mauri,25,L190512,True,wessan,False,-123.44711,Western Sandpiper
S15324762,49.0721122,True,East Delta (E of BC 17A and S of BC 99),2013-10-01 16:30,Calidris mauri,20,L348400,True,wessan,False,-122.9898834,Western Sandpiper
S17402315,28.3614916,False,Reserva Especial de La Biosfera Cajon del Diablo--Estero Tastiota,2013-10-01 08:20,Calidris mauri,37,L1482743,True,wessan,False,-111.4534142,Western Sandpiper
S15310945,36.6608009,False,Salinas WTP (no public access),2013-10-02 16:40,Calidris mauri,5,L335151,True,wessan,False,-121.7180536,Western Sandpiper
S15310390,42.1433778,False,Emigrant Lake,2013-10-02 16:00,Calidris mauri,1,L389848,True,wessan,False,-122.6209306,Western Sandpiper
S15309725,46.1389281,True,Dodd Road,2013-10-02 13:00,Calidris mauri,1,L2071156,True,wessan,False,-118.8799667,Western Sandpiper
S15310278,57.17012,False,St. Paul Island,2013-10-02 13:00,Calidris mauri,1,L261146,True,wessan,False,-170.296751,Western Sandpiper
S15319443,33.7274762,True,"1 Yard NIB: HB, Suite Dr.",2013-10-03 16:00,Calidris mauri,1,L1015158,True,wessan,False,-118.0487984,Western Sandpiper
S15588586,45.6199208,True,Smith and Bybee Wetlands NA,2013-10-03 11:00,Calidris mauri,1,L2038396,True,wessan,False,-122.7282715,Western Sandpiper
S15326791,49.0721122,True,East Delta (E of BC 17A and S of BC 99),2013-10-03 17:05,Calidris mauri,30,L348400,True,wessan,False,-122.9898834,Western Sandpiper
S15331871,37.5635405,False,Foster City Shell Bar,2013-10-04 18:11,Calidris mauri,,L467982,True,wessan,False,-122.248714,Western Sandpiper
S15322939,53.2590008,False,K'il Kun Xidgwangs Daanaay (Sandspit) Airport,2013-10-04 14:00,Calidris mauri,1,L351671,True,wessan,True,-131.8215179,Western Sandpiper
S15334247,32.5355257,True,Over the wall near dairy mart,2013-10-04 08:05,Calidris mauri,3,L2377221,True,wessan,False,-117.0671368,Western Sandpiper
S15331190,32.7568803,False,San Diego River mudflats (including Robb Field & north side),2013-10-05 17:30,Calidris mauri,50,L506275,True,wessan,False,-117.2401432,Western Sandpiper
S15331359,45.553569,False,Bayocean Spit,2013-10-05 15:30,Calidris mauri,15,L2198871,True,wessan,False,-123.9435911,Western Sandpiper
S15330571,48.1519101,False,Cline Spit,2013-10-05 17:44,Calidris mauri,10,L1353392,True,wessan,False,-123.1518205,Western Sandpiper
S16392492,49.0837729,False,Delta—Boundary Bay -- 112th St.,2013-10-05 17:00,Calidris mauri,500,L339314,True,wessan,False,-122.9123354,Western Sandpiper
S15328256,21.6070037,False,Granja de Camarón Chacalilla,2013-10-05 09:45,Calidris mauri,,L592109,True,wessan,False,-105.2806091,Western Sandpiper
S15340519,38.551789,False,Yolo Bypass Wildlife Area,2013-10-06 17:33,Calidris mauri,2,L443535,True,wessan,False,-121.6208018,Western Sandpiper
S15341019,44.624892,False,Yaquina Bay SP,2013-10-06 11:00,Calidris mauri,3,L1311564,True,wessan,False,-124.063282,Western Sandpiper
S15343151,46.0685319,False,McNary NWR--Walla Walla River Delta,2013-10-06 12:30,Calidris mauri,1,L109548,True,wessan,False,-118.9096792,Western Sandpiper
S15341853,31.8104202,False,Bahía Todos Santos,2013-10-06 09:30,Calidris mauri,8,L221559,True,wessan,False,-116.643219,Western Sandpiper
S15349551,36.8103654,False,Moonglow Dairy (Fri-Sun only; closed Mon-Thur),2013-10-07 17:30,Calidris mauri,,L306035,True,wessan,False,-121.7667337,Western Sandpiper
S16053803,33.323999,True,US-CA-Fallbrook-4887 Lake Shore Pl,2013-10-08 16:12,Calidris mauri,11,L2479732,True,wessan,False,-117.152196,Western Sandpiper
S15368390,44.6215148,False,Yaquina River--North Shore,2013-10-08,Calidris mauri,2,L627297,True,wessan,False,-124.0640116,Western Sandpiper
S20938670,46.9096434,False,Westport Marina,2013-10-08,Calidris mauri,,L862963,True,wessan,False,-124.1138792,Western Sandpiper
S15384927,49.0721122,True,East Delta (E of BC 17A and S of BC 99),2013-10-08 10:00,Calidris mauri,4,L348400,True,wessan,False,-122.9898834,Western Sandpiper
S15726632,28.4610029,False,Estero Cardonal,2013-10-08 08:40,Calidris mauri,983,L1585554,True,wessan,False,-111.7038983,Western Sandpiper
S15365889,37.8393943,False,Emeryville Marina,2013-10-09 18:00,Calidris mauri,25,L764558,True,wessan,False,-122.3118854,Western Sandpiper
