sciName,comName,locName,obsReviewed,obsValid,obsDt,lat,howMany,subId,locationPrivate,lng,speciesCode,locId
Calidris mauri,Western Sandpiper,Ballona Freshwater Marsh,False,True,2023-10-01 20:26,33.9701285,3,S151235723,False,-118.4305573,wessan,L160935
Calidris mauri,Western Sandpiper,Coquille River--South Jetty ,False,True,2023-10-01 23:02,43.1222404,49,S159548563,False,-124.4282663,wessan,L774789
Calidris mauri,Western Sandpiper,Soap Lake City Park,False,True,2023-10-01 17:48,47.3931491,5,S151228931,False,-119.4848049,wessan,L16413338
Calidris mauri,Western Sandpiper,Tsawwassen Ferry Terminal Jetty,False,True,2023-10-01 17:15,49.0157109,100,S151233352,False,-123.117063,wessan,L282714
Calidris mauri,Western Sandpiper,Lake Earl and Tolowa--The Narrows,False,True,2023-10-02 18:06,41.8415598,50,S151311301,False,-124.2059326,wessan,L6283356
Calidris mauri,Western Sandpiper,Bayocean Spit--ocean (west) side,False,True,2023-10-02 16:06,45.5231871,15,S151311034,False,-123.954277,wessan,L686417
Calidris mauri,Western Sandpiper,Soap Lake,False,True,2023-10-02 12:55,47.3962264,1,S152119985,False,-119.4840758,wessan,L258171
Calidris mauri,Western Sandpiper,Sitka Sound--north,False,True,2023-10-02 10:01,57.1560736,5,S151287753,False,-135.4254284,wessan,L3883665
Calidris mauri,Western Sandpiper,Tsawwassen Ferry Terminal Jetty,False,True,2023-10-02 09:53,49.0157109,30,S151277236,False,-123.117063,wessan,L282714
Calidris mauri,Western Sandpiper,CR104 (YOL Co.),False,True,2023-10-03 18:00,38.6112691,55,S151449311,False,-121.692545,wessan,L1868263
Calidris mauri,Western Sandpiper,Bayocean Spit--ocean (west) side,False,True,2023-10-03 18:21,45.5231871,26,S151381579,False,-123.954277,wessan,L686417
Calidris mauri,Western Sandpiper,Soap Lake,False,True,2023-10-03 17:21,47.3962264,4,S151377044,False,-119.4840758,wessan,L258171
Calidris mauri,Western Sandpiper,Esquimalt Lagoon,False,True,2023-10-03 15:56,48.4257613,7,S151376612,False,-123.4631732,wessan,L350246
Calidris mauri,Western Sandpiper,CR104--Ponds,False,True,2023-10-04 17:51,38.5973164,70,S151447053,False,-121.696584,wessan,L17972762
Calidris mauri,Western Sandpiper,Heron Lakes Golf Club--Force Lake,False,True,2023-10-04 18:19,45.604911,12,S151445123,False,-122.6953554,wessan,L1027749
Calidris mauri,Western Sandpiper,Soap Lake,False,True,2023-10-04 17:25,47.3962264,5,S151446507,False,-119.4840758,wessan,L258171
Calidris mauri,Western Sandpiper,Mendenhall Wetlands SGR--E of river mouth,True,True,2023-10-04 07:00,58.3495957,3,S151438577,False,-134.5714474,wessan,L516847
Calidris mauri,Western Sandpiper,Esquimalt Lagoon,False,True,2023-10-04 17:52,48.4257613,8,S151452117,False,-123.4631732,wessan,L350246
Calidris mauri,Western Sandpiper,"Auto selected 28.94777, -113.45386",False,True,2023-10-04 10:55,28.94777,10,S151481315,True,-113.453857,wessan,L27385871
Calidris mauri,Western Sandpiper,Entrada al Playon - Balao,False,True,2023-10-04 12:03,-2.9244809,3,S151445166,True,-79.8393648,wessan,L10311157
Calidris mauri,Western Sandpiper,"Mission Bay Park, San Diego US-CA (32.7952,-117.2095)",False,True,2023-10-05 18:10,32.795238,10,S151544858,True,-117.209499,wessan,L27397449
Calidris mauri,Western Sandpiper,Fort Stevens SP--South Jetty/Parking Area C,False,True,2023-10-05 18:11,46.2286726,300,S151514821,False,-124.0217721,wessan,L887381
Calidris mauri,Western Sandpiper,Soap Lake,False,True,2023-10-05 17:05,47.3962264,1,S151513575,False,-119.4840758,wessan,L258171
Calidris mauri,Western Sandpiper,Iona Island (General),False,True,2023-10-05 16:38,49.2213299,10,S151546935,False,-123.2110997,wessan,L261851
Calidris mauri,Western Sandpiper,Estero Punta Banda--Embalse,False,True,2023-10-05 14:30,31.7176905,1000,S151515006,False,-116.6521454,wessan,L619238
Calidris mauri,Western Sandpiper,Antigua Estación de Tren,False,True,2023-10-05 07:05,20.2979798,1,S151507920,False,-103.177296,wessan,L2088393
Calidris mauri,Western Sandpiper,CR104--Ponds,False,True,2023-10-06 18:44,38.5973164,8,S152954284,False,-121.696584,wessan,L17972762
Calidris mauri,Western Sandpiper,Bayocean Spit--ocean (west) side,False,True,2023-10-06 18:34,45.5231871,,S151616773,False,-123.954277,wessan,L686417
Calidris mauri,Western Sandpiper,Ocean Shores -- Bill's Spit,False,True,2023-10-06 12:21,46.9648907,8,S151564749,False,-124.1339435,wessan,L269804
